Specimen,f1,f2,f3a,f5,f6,f7,f8,f9,f10,f11a,f12,f13a,f19,f20,f21,f22a,f23,f24,f25a,f26,f27,f28a,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,Latitude,Longitude,Country,Ocean,Morphogroup
ZMUC19,8.462,1.5,0,2.982,1.33,0.669,3,1.309,2.7865,0.248,1,,6,6,,,1,3,1,5,6,0.8,0.2065,0,0.73875,0.2145,28,0.9575,0.2075,0.723,0.4,0.4,25,27,1.5,28,29,0.25,-3.6333,52.7166,Seychelles,Indian,Indonesia-W
ZMUC18-3,7.5185,,0.5,3.310333333,0.9395,0.6265,3,1.2985,2.982,0.4855,2,,8,8,,,1,1.75,1,1,1,0,0.119,0,0.84175,0.1755,16,0.943666667,0.185333333,0.677666667,0,0,14,15,1,16,15,0,56.8083,11.487,Denmark,Atlantic,NE-Atlantic
ZMUC18-2,4.3415,,0,2.2,0.638333333,0.418,3,0.6325,1.6305,0.427,3,,8,8,,,1,1,1,7,5,0,0.0575,0,0.499,0.12,26,0.5685,0.117,0.3695,0,0,21,15,1,26,20,0,56.8083,11.487,Denmark,Atlantic,NE-Atlantic
ZMUC18-1,4.035,,0,1.642,0.5415,0.34,3,0.5775,1.537,0.2625,2,,8,8,,,1,3,1,5,2,0,0.057,0,0.47975,0.126,23,0.56,0.119333333,0.341,0,0,20,17,1.125,23,16,0.125,56.8083,11.487,Denmark,Atlantic,NE-Atlantic
ZMUC17-2,8.066,,0,3.5415,1.7585,0.995,3,1.3665,3.3365,0.322,1,,7,7,,,1,4.5,1,9.5,7,1.333333333,0.3895,0,0.985,0.2405,42,1.0405,0.3175,0.8305,0.5,0.833333333,27,24,1.166666667,36.5,28,0.333333333,12.2147,109.2292,Vietnam,Indian,Philippines
ZMUC17-1,9.175,,0.5,3.7335,1.848666667,1.0025,3,1.583,3.7125,0.2365,1,,,,,,1,5,1,,14,1,0.1815,0,1.06475,0.236,,1.228,0.242,0.7115,0.5,0.5,,2,1,,39,0.5,12.2147,109.2292,Vietnam,Indian,Indonesia-W
ZMUC16-2,7.816,,0,3.564,1.67575,1.16,3,1.122,3.6155,0.6655,2,,9,9,,,1,4.333333333,1,0,3,0.5,0.246333333,0.021666667,1.24675,0.190666667,13,1.4575,0.23,0.7705,0.25,0.25,13,19,1,13,18,0.125,-8.1229,114.8555,Indonesia-W,Indian,Indonesia-W
ZMUC16-1,8.395,0.69,2,4.965,1.747,1.111,3,0.925,3.5725,0.418,1,,,,,1.04,1,5,1,,,,0.496,0,1.32375,0.285,,1.7165,0.2315,0.615,,,,,,,,,-8.1229,114.8555,Indonesia-W,Indian,Indonesia-W
ZMUC15,9.338,2.155,0,3.7195,1.686,1.1615,3,1.649,3.857,0.5055,1,,,,,,1,6,1,6.5,7,0.5,0.287,0.1685,1.104,0.218,32,1.2955,0.4335,0.926,0.25,0.25,25,18,1.125,31,18,0.125,-4.2333,44.8667,Seychelles,Indian,Indonesia-W
ZMUC14,8.1705,,0,3.282,1.475,0.7865,2,1.1765,3.085,0.412,2,,9,9,,,1,2.75,1,2,1,0,0.2745,0,0.95425,0.249,25,0.891,0.4135,0.5395,0,0,25,20,1,25,18,0,15.9,90.2833,India,Indian,Indonesia-W
ZMUC13,10.309,,0,5.0825,2.034,1.343,5,1.4285,3.5015,0.297,1,,,,,,1,2.666666667,1,14,9,1,0.334,0.046,1.0365,0.2445,44,1.214,0.423,0.800666667,0.333333333,0.666666667,30,33,1,44,40,0.166666667,7.9972,93.4992,India,Indian,Philippines
